EMIS Code,SchoolName,Year,Gender,LEVEL,District,Tehsil,UCName,BuildingOwnerShip,TotalLand_Allocated,Year of Estbalishment,Year of Construction,Covered_Area,UnCovered_Area,UnCovered_Area_Premis,Whole Building Needs Reconstruction,No of Class Room Need Reconstruction,No of Other Room Need Reconstruction,No of Class Room Need Repair,No of Other Room Need Repair,HT Office,Science Lab,Staff Room,Library,Hostel Availability,Hostel Capacity,Hostel Rooms,Clerk Room,Play Ground/Area,Play Area,No of Pakka Class Rooms,No. Of Pakka Other Rooms,No. of Kacha Class Rooms,No of Kacha Other Rooms,CCTVCameras,ExaminationHall,Ramp Access at Entrance,Ramp Access in Building,Ramp at Toilet,School Name,School Level,Union Council Name,Desks Two Seater Useable,Desks Two Seater Un-Useable,Desks Two Seater New Required,Desks Three Seater Useable,Desks Three Seater Un-Useable,Desks Three Seater New Required,Desk Benches Useable,Desk Benches Un-Useable,Desk Benches New Required,Student Chairs Useable,Student Chairs Un-Useable,Student Chairs New Required,Tablet Chairs Useable,Tablet Chairs Un-Useable,Tablet Chairs New Required,Jute Tats Useable,Jute Tats Un-Useable,Jute Tats New Required,Fans Useable,Fans Un-Useable,Fans New Required,total_teachers,avg_bps_teachers,qualified_teachers,total_non_teachers,Presentbalance,Fund Recieved from Govt in This Year,is_critical
60903,GPS AKRAM BAIG KORE,2024-25,Boys,Primary,MOHMAND,SAFI,SAFI,Govt,28.0,1976.0,1976.0,32.0,12.0,12.0,No,0.0,0.0,3.0,0.0,Yes,Not Available,No,Not Available,No,0,0,No,No,Not Available,6,1,0,0,No,No,No,No,No,GPS AKRAM BAIG KORE,Primary,SAFI,11,4,80,0,0,0,11,4,80,0,0,0,0,0,0,0,0,0,0,0,32,2.0,13.5,0.0,1.0,10132.0,0.0,1
60904,GPS MASTI KORE MASAHIB KHAN,2024-25,Boys,Primary,MOHMAND,KHWEZAI,KHWEZAI,Govt,40.0,2004.0,2005.0,7.0,33.0,33.0,No,0.0,0.0,2.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,3,0,0,0,No,No,No,No,No,GPS MASTI KORE MASAHIB KHAN,Primary,KHWEZAI,0,0,0,0,0,0,0,0,0,0,0,0,45,1,15,4,0,0,0,0,16,1.0,12.0,0.0,1.0,500.0,0.0,1
60905,GPS ZANAWAR CHEENA (GUL SAID ),2024-25,Boys,Primary,MOHMAND,KHWEZAI,KHWEZAI,Govt,40.0,1998.0,1999.0,6.0,34.0,34.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,2,0,0,0,No,No,Yes,No,No,GPS ZANAWAR CHEENA (GUL SAID ),Primary,KHWEZAI,0,0,0,0,0,0,0,0,0,0,0,0,50,0,15,0,0,10,7,0,1,1.0,12.0,0.0,1.0,10806.0,0.0,1
60906,GPS SOOR DAAG KHWAIZAI,2024-25,Boys,Primary,MOHMAND,KHWEZAI,KHWEZAI,Govt,32.0,1999.0,1998.0,6.0,26.0,26.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,2,0,0,0,No,No,No,No,No,GPS SOOR DAAG KHWAIZAI,Primary,KHWEZAI,0,0,0,0,0,0,0,0,0,0,0,0,40,0,30,4,0,3,6,0,0,1.0,12.0,0.0,1.0,3798.0,0.0,1
60907,GGPS DAWIZAI RAHMAT ULLAH,2024-25,Girls,Primary,MOHMAND,PANDIALI,PANDIALI,Govt,,,,,,,,,,,,,,,,,0,0,,,,0,0,0,0,,,,,,GGPS DAWIZAI RAHMAT ULLAH,Primary,PANDIALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,1
60908,GGPS KARAPA PANDIALI,2024-25,Girls,Primary,MOHMAND,PANDIALI,PANDIALI,Govt,80.0,2007.0,2005.0,20.0,60.0,60.0,No,0.0,1.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,2,5,0,0,No,No,No,No,No,GGPS KARAPA PANDIALI,Primary,PANDIALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,10,0,4,6,1.0,15.0,0.0,2.0,15000.0,0.0,1
60909,GPS ATAM KALAI MALIK SHER,2024-25,Boys,Primary,MOHMAND,KHWEZAI,KHWEZAI,Adjusted,40.0,2006.0,2005.0,6.0,34.0,34.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,3,0,0,0,No,No,No,No,No,GPS ATAM KALAI MALIK SHER,Primary,KHWEZAI,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,3,0,0,1.0,12.0,0.0,1.0,0.0,0.0,1
60910,GPS AQRAB DAG HASHMALI KORE,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,33.0,1991.0,1990.0,16.0,25.0,25.0,No,0.0,0.0,0.0,0.0,Yes,Not Available,Yes,Not Available,No,0,0,No,No,Not Available,6,2,0,0,No,No,Yes,Yes,Yes,GPS AQRAB DAG HASHMALI KORE,Primary,EKKA GHUND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,4,0,0,32,0,0,2.0,15.0,0.0,1.0,491.0,0.0,1
60911,GPS NASEEM KORE,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,60.0,1976.0,1976.0,20.0,50.0,50.0,No,0.0,0.0,0.0,0.0,Yes,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,6,1,0,0,No,No,No,Yes,No,GPS NASEEM KORE,Primary,EKKA GHUND,0,0,0,0,0,0,45,0,0,0,0,0,0,0,216,0,0,0,20,0,6,6.0,13.833333333333334,0.0,1.0,499.0,0.0,1
60912,GPS GHAMI KORE,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,40.0,1975.0,1974.0,4.0,36.0,36.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,2,0,0,0,No,No,No,No,No,GPS GHAMI KORE,Primary,EKKA GHUND,25,0,0,0,0,0,25,0,0,0,0,0,0,0,30,3,0,0,6,0,2,2.0,13.5,0.0,1.0,0.0,0.0,1
